#snow#
5, 10
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_30.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_18.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_60.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_51.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_19.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_11.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_29.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_18.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_13.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_31.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
,,0,1000
)
decors,(,32x32
spique,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_71.asset,0,1000
tombe,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_92.asset,0,1000
rock,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_197.asset,0,1000
chest,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_312.asset,0,1000
,,0,1000
)
#chao / test#
10, 10
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/TX Tileset Ground_132.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TerrainTileMap/Tilesheet - WOODS_12.asset,0,1000
scale,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_251.asset,0,1000
)
grass,(,32x32
,,0,1000
)
decors,(,32x32
,,0,1000
)
#blue plannet 1#
8, 8
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-solid.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/cave/ground-top-2.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2-plant.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-tile-2.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-left.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-top-left.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-tile-2.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-right.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-top-right.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/cave/ladder.asset,0,1000
)
grass,(,32x32
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-1.asset,0,1000
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-2.asset,0,1000
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-3.asset,0,1000
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-4.asset,0,1000
)
decors,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/cave/spikes.asset,0,1000
)
#blue plannet 2#
8, 3
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-solid.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/cave/ground-top-2.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2-plant.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-tile-2.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-left.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-top-left.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-tile-2.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-right.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/dirt-top-right.asset,0,1000
scaleTile,,0,1000
)
grass,(,32x32
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-1.asset,0,1000
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-2.asset,0,1000
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-3.asset,0,1000
grass 1,Assets/Game/ProceduralGeneration/Tiles/cave/plant-4.asset,0,1000
)
decors,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/cave/spikes.asset,0,1000
)
#cave#
10, 8
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Rock/Rock25.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2-plant.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-4-plant-10.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
rightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
topRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/cave/rockblock-2.asset,0,1000
scaleTile,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_278.asset,0,1000
)
grass,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/cave/plant-1.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/cave/plant-2.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/cave/plant-3.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/cave/plant-4.asset,0,1000
)
decors,(,32x32
,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_120.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_169.asset,0,1000
,Assets/Game/ProceduralGeneration/Tiles/VillageStuff/TX Village Props_207.asset,0,1000
)
#desert#
10, 8
tree,(,64x64
,,0,1000
)
terrain,(,32x32
tile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand1.asset,0,1000
topTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand6.asset,0,1000
bottomDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand1.asset,0,1000
doubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand15.asset,0,1000
topDoubleEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand13.asset,0,1000
bottomLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand1.asset,0,1000
leftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand9.asset,0,1000
topLeftEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand5.asset,0,1000
bottomRightEdgeTile,Assets/Game/ProceduralGeneration/Tiles/TileAssets/Nature/Sand1.asset,0,1000
